Entry,Anode/Cathode,Solvent,Electrolyte,Current/Potential
4886,Pt/GF,AcOH: TFE(1: 1),LiOAc,1.2 mA
4887,Pt/GF,AcOH: TFE(1: 1),LiOAc,1.0 V
4888,Pt/GF,AcOH: TFE(1: 1),LiOAc,1.5 V
4889,Pt/GF,AcOH: TFE(1: 1),LiOAc,0.6 mA
4890,Pt/GF,AcOH: TFE(1: 1),NaO2CAd,0.3 mA
4891,Pt/GF,AcOH: TFE(1: 1),NaO2CAd,0.9 mA
4892,Pt/GF,AcOH: TFE(1: 1),NaO2CAd,1.2 mA
4893,Pt/GF,AcOH: TFE(1: 1),NaO2CAd,1.0 V
4894,Pt/GF,AcOH: TFE(1: 1),NaO2CAd,1.5 V
4895,Pt/GF,AcOH: TFE(1: 1),NaO2CAd,0.6 mA
4896,Pt/GF,AcOH: TFE(1: 1),NaOAc,0.3 mA
4897,Pt/GF,AcOH: TFE(1: 1),NaOAc,0.9 mA
4898,Pt/GF,AcOH: TFE(1: 1),NaOAc,1.2 mA
4899,Pt/GF,AcOH: TFE(1: 1),NaOAc,1.0 V
4900,Pt/GF,AcOH: TFE(1: 1),NaOAc,1.5 V
4901,Pt/GF,AcOH: TFE(1: 1),NaOAc,0.6 mA
4902,Pt/GF,AcOH: TFE(1: 1),nBu4NOAc,0.3 mA
4903,Pt/GF,AcOH: TFE(1: 1),nBu4NOAc,0.9 mA
4904,Pt/GF,AcOH: TFE(1: 1),nBu4NOAc,1.2 mA
4905,Pt/GF,AcOH: TFE(1: 1),nBu4NOAc,1.0 V
4906,Pt/GF,AcOH: TFE(1: 1),nBu4NOAc,1.5 V
4907,Pt/GF,AcOH: TFE(1: 1),nBu4NOAc,0.6 mA
4908,Pt/GF,AcOH: TFE(1: 1),nBu4NPF6,0.3 mA
4909,Pt/GF,AcOH: TFE(1: 1),nBu4NPF6,0.9 mA
4910,Pt/GF,AcOH: TFE(1: 1),nBu4NPF6,1.2 mA
4911,Pt/GF,AcOH: TFE(1: 1),nBu4NPF6,1.0 V
4912,Pt/GF,AcOH: TFE(1: 1),nBu4NPF6,1.5 V
4913,Pt/GF,AcOH: TFE(1: 1),nBu4NPF6,0.6 mA
4914,Pt/GF,EtOH,NaOPiv,0.3 mA
4915,Pt/GF,EtOH,NaOPiv,0.9 mA
4916,Pt/GF,EtOH,NaOPiv,1.2 mA
4917,Pt/GF,EtOH,NaOPiv,1.0 V
4918,Pt/GF,EtOH,NaOPiv,1.5 V
4919,Pt/GF,EtOH,NaOPiv,0.6 mA
4920,Pt/GF,EtOH,K3PO4,0.3 mA
4921,Pt/GF,EtOH,K3PO4,0.9 mA
4922,Pt/GF,EtOH,K3PO4,1.2 mA
4923,Pt/GF,EtOH,K3PO4,1.0 V
4924,Pt/GF,EtOH,K3PO4,1.5 V
4925,Pt/GF,EtOH,K3PO4,0.6 mA
4926,Pt/GF,EtOH,KOAc,0.3 mA
4927,Pt/GF,EtOH,KOAc,0.9 mA
4928,Pt/GF,EtOH,KOAc,1.2 mA
4929,Pt/GF,EtOH,KOAc,1.0 V
4930,Pt/GF,EtOH,KOAc,1.5 V
4931,Pt/GF,EtOH,KOAc,0.6 mA
4932,Pt/GF,EtOH,LiClO4,0.3 mA
4933,Pt/GF,EtOH,LiClO4,0.9 mA
4934,Pt/GF,EtOH,LiClO4,1.2 mA
4935,Pt/GF,EtOH,LiClO4,1.0 V
4936,Pt/GF,EtOH,LiClO4,1.5 V
4937,Pt/GF,EtOH,LiClO4,0.6 mA
4938,Pt/GF,EtOH,LiOAc,0.3 mA
4939,Pt/GF,EtOH,LiOAc,0.9 mA
4940,Pt/GF,EtOH,LiOAc,1.2 mA
4941,Pt/GF,EtOH,LiOAc,1.0 V
4942,Pt/GF,EtOH,LiOAc,1.5 V
4943,Pt/GF,EtOH,LiOAc,0.6 mA
4944,Pt/GF,EtOH,NaO2CAd,0.3 mA
4945,Pt/GF,EtOH,NaO2CAd,0.9 mA
4946,Pt/GF,EtOH,NaO2CAd,1.2 mA
4947,Pt/GF,EtOH,NaO2CAd,1.0 V
4948,Pt/GF,EtOH,NaO2CAd,1.5 V
4949,Pt/GF,EtOH,NaO2CAd,0.6 mA
4950,Pt/GF,EtOH,NaOAc,0.3 mA
4951,Pt/GF,EtOH,NaOAc,0.9 mA
4952,Pt/GF,EtOH,NaOAc,1.2 mA
4953,Pt/GF,EtOH,NaOAc,1.0 V
4954,Pt/GF,EtOH,NaOAc,1.5 V
4955,Pt/GF,EtOH,NaOAc,0.6 mA
4956,Pt/GF,EtOH,nBu4NOAc,0.3 mA
4957,Pt/GF,EtOH,nBu4NOAc,0.9 mA
4958,Pt/GF,EtOH,nBu4NOAc,1.2 mA
4959,Pt/GF,EtOH,nBu4NOAc,1.0 V
4960,Pt/GF,EtOH,nBu4NOAc,1.5 V
4961,Pt/GF,EtOH,nBu4NOAc,0.6 mA
4962,Pt/GF,EtOH,nBu4NPF6,0.3 mA
4963,Pt/GF,EtOH,nBu4NPF6,0.9 mA
4964,Pt/GF,EtOH,nBu4NPF6,1.2 mA
4965,Pt/GF,EtOH,nBu4NPF6,1.0 V
4966,Pt/GF,EtOH,nBu4NPF6,1.5 V
4967,Pt/GF,EtOH,nBu4NPF6,0.6 mA
4968,Pt/GF,EtOH: MeCN(1: 1),NaOPiv,0.3 mA
4969,Pt/GF,EtOH: MeCN(1: 1),NaOPiv,0.9 mA
4970,Pt/GF,EtOH: MeCN(1: 1),NaOPiv,1.2 mA
4971,Pt/GF,EtOH: MeCN(1: 1),NaOPiv,1.0 V
4972,Pt/GF,EtOH: MeCN(1: 1),NaOPiv,1.5 V
4973,Pt/GF,EtOH: MeCN(1: 1),NaOPiv,0.6 mA
4974,Pt/GF,EtOH: MeCN(1: 1),K3PO4,0.3 mA
4975,Pt/GF,EtOH: MeCN(1: 1),K3PO4,0.9 mA
4976,Pt/GF,EtOH: MeCN(1: 1),K3PO4,1.2 mA
4977,Pt/GF,EtOH: MeCN(1: 1),K3PO4,1.0 V
4978,Pt/GF,EtOH: MeCN(1: 1),K3PO4,1.5 V
4979,Pt/GF,EtOH: MeCN(1: 1),K3PO4,0.6 mA
4980,Pt/GF,EtOH: MeCN(1: 1),KOAc,0.3 mA
4981,Pt/GF,EtOH: MeCN(1: 1),KOAc,0.9 mA
4982,Pt/GF,EtOH: MeCN(1: 1),KOAc,1.2 mA
4983,Pt/GF,EtOH: MeCN(1: 1),KOAc,1.0 V
4984,Pt/GF,EtOH: MeCN(1: 1),KOAc,1.5 V
4985,Pt/GF,EtOH: MeCN(1: 1),KOAc,0.6 mA
4986,Pt/GF,EtOH: MeCN(1: 1),LiClO4,0.3 mA
4987,Pt/GF,EtOH: MeCN(1: 1),LiClO4,0.9 mA
4988,Pt/GF,EtOH: MeCN(1: 1),LiClO4,1.2 mA
4989,Pt/GF,EtOH: MeCN(1: 1),LiClO4,1.0 V
4990,Pt/GF,EtOH: MeCN(1: 1),LiClO4,1.5 V
4991,Pt/GF,EtOH: MeCN(1: 1),LiClO4,0.6 mA
4992,Pt/GF,EtOH: MeCN(1: 1),LiOAc,0.3 mA
4993,Pt/GF,EtOH: MeCN(1: 1),LiOAc,0.9 mA
4994,Pt/GF,EtOH: MeCN(1: 1),LiOAc,1.2 mA
4995,Pt/GF,EtOH: MeCN(1: 1),LiOAc,1.0 V
4996,Pt/GF,EtOH: MeCN(1: 1),LiOAc,1.5 V
4997,Pt/GF,EtOH: MeCN(1: 1),LiOAc,0.6 mA
4998,Pt/GF,EtOH: MeCN(1: 1),NaO2CAd,0.3 mA
4999,Pt/GF,EtOH: MeCN(1: 1),NaO2CAd,0.9 mA
5000,Pt/GF,EtOH: MeCN(1: 1),NaO2CAd,1.2 mA
5001,Pt/GF,EtOH: MeCN(1: 1),NaO2CAd,1.0 V
5002,Pt/GF,EtOH: MeCN(1: 1),NaO2CAd,1.5 V
5003,Pt/GF,EtOH: MeCN(1: 1),NaO2CAd,0.6 mA
5004,Pt/GF,EtOH: MeCN(1: 1),NaOAc,0.3 mA
5005,Pt/GF,EtOH: MeCN(1: 1),NaOAc,0.9 mA
5006,Pt/GF,EtOH: MeCN(1: 1),NaOAc,1.2 mA
5007,Pt/GF,EtOH: MeCN(1: 1),NaOAc,1.0 V
5008,Pt/GF,EtOH: MeCN(1: 1),NaOAc,1.5 V
5009,Pt/GF,EtOH: MeCN(1: 1),NaOAc,0.6 mA
5010,Pt/GF,EtOH: MeCN(1: 1),nBu4NOAc,0.3 mA
5011,Pt/GF,EtOH: MeCN(1: 1),nBu4NOAc,0.9 mA
5012,Pt/GF,EtOH: MeCN(1: 1),nBu4NOAc,1.2 mA
5013,Pt/GF,EtOH: MeCN(1: 1),nBu4NOAc,1.0 V
5014,Pt/GF,EtOH: MeCN(1: 1),nBu4NOAc,1.5 V
5015,Pt/GF,EtOH: MeCN(1: 1),nBu4NOAc,0.6 mA
5016,Pt/GF,EtOH: MeCN(1: 1),nBu4NPF6,0.3 mA
5017,Pt/GF,EtOH: MeCN(1: 1),nBu4NPF6,0.9 mA
5018,Pt/GF,EtOH: MeCN(1: 1),nBu4NPF6,1.2 mA
5019,Pt/GF,EtOH: MeCN(1: 1),nBu4NPF6,1.0 V
5020,Pt/GF,EtOH: MeCN(1: 1),nBu4NPF6,1.5 V
5021,Pt/GF,EtOH: MeCN(1: 1),nBu4NPF6,0.6 mA
5022,Pt/GF,AcOH,NaOPiv,0.3 mA
5023,Pt/GF,AcOH,NaOPiv,0.9 mA
5024,Pt/GF,AcOH,NaOPiv,1.2 mA
5025,Pt/GF,AcOH,NaOPiv,1.0 V
5026,Pt/GF,AcOH,NaOPiv,1.5 V
5027,Pt/GF,AcOH,NaOPiv,0.6 mA
5028,Pt/GF,AcOH,K3PO4,0.3 mA
5029,Pt/GF,AcOH,K3PO4,0.9 mA
5030,Pt/GF,AcOH,K3PO4,1.2 mA
5031,Pt/GF,AcOH,K3PO4,1.0 V
5032,Pt/GF,AcOH,K3PO4,1.5 V
5033,Pt/GF,AcOH,K3PO4,0.6 mA
5034,Pt/GF,AcOH,KOAc,0.3 mA
5035,Pt/GF,AcOH,KOAc,0.9 mA
5036,Pt/GF,AcOH,KOAc,1.2 mA
5037,Pt/GF,AcOH,KOAc,1.0 V
5038,Pt/GF,AcOH,KOAc,1.5 V
5039,Pt/GF,AcOH,KOAc,0.6 mA
5040,Pt/GF,AcOH,LiClO4,0.3 mA
5041,Pt/GF,AcOH,LiClO4,0.9 mA
5042,Pt/GF,AcOH,LiClO4,1.2 mA
5043,Pt/GF,AcOH,LiClO4,1.0 V
5044,Pt/GF,AcOH,LiClO4,1.5 V
5045,Pt/GF,AcOH,LiClO4,0.6 mA
5046,Pt/GF,AcOH,LiOAc,0.3 mA
5047,Pt/GF,AcOH,LiOAc,0.9 mA
5048,Pt/GF,AcOH,LiOAc,1.2 mA
5049,Pt/GF,AcOH,LiOAc,1.0 V
5050,Pt/GF,AcOH,LiOAc,1.5 V
5051,Pt/GF,AcOH,LiOAc,0.6 mA
5052,Pt/GF,AcOH,NaO2CAd,0.3 mA
5053,Pt/GF,AcOH,NaO2CAd,0.9 mA
5054,Pt/GF,AcOH,NaO2CAd,1.2 mA
5055,Pt/GF,AcOH,NaO2CAd,1.0 V
5056,Pt/GF,AcOH,NaO2CAd,1.5 V
5057,Pt/GF,AcOH,NaO2CAd,0.6 mA
5058,Pt/GF,AcOH,NaOAc,0.3 mA
5059,Pt/GF,AcOH,NaOAc,0.9 mA
5060,Pt/GF,AcOH,NaOAc,1.2 mA
5061,Pt/GF,AcOH,NaOAc,1.0 V
5062,Pt/GF,AcOH,NaOAc,1.5 V
5063,Pt/GF,AcOH,NaOAc,0.6 mA
5064,Pt/GF,AcOH,nBu4NOAc,0.3 mA
5065,Pt/GF,AcOH,nBu4NOAc,0.9 mA
5066,Pt/GF,AcOH,nBu4NOAc,1.2 mA
5067,Pt/GF,AcOH,nBu4NOAc,1.0 V
5068,Pt/GF,AcOH,nBu4NOAc,1.5 V
5069,Pt/GF,AcOH,nBu4NOAc,0.6 mA
5070,Pt/GF,AcOH,nBu4NPF6,0.3 mA
5071,Pt/GF,AcOH,nBu4NPF6,0.9 mA
5072,Pt/GF,AcOH,nBu4NPF6,1.2 mA
5073,Pt/GF,AcOH,nBu4NPF6,1.0 V
5074,Pt/GF,AcOH,nBu4NPF6,1.5 V
5075,Pt/GF,AcOH,nBu4NPF6,0.6 mA
5076,Pt/GF,AcOH: EtOH(1: 1),NaOPiv,0.3 mA
5077,Pt/GF,AcOH: EtOH(1: 1),NaOPiv,0.9 mA
5078,Pt/GF,AcOH: EtOH(1: 1),NaOPiv,1.2 mA
5079,Pt/GF,AcOH: EtOH(1: 1),NaOPiv,1.0 V
5080,Pt/GF,AcOH: EtOH(1: 1),NaOPiv,1.5 V
5081,Pt/GF,AcOH: EtOH(1: 1),NaOPiv,0.6 mA
5082,Pt/GF,AcOH: EtOH(1: 1),K3PO4,0.3 mA
5083,Pt/GF,AcOH: EtOH(1: 1),K3PO4,0.9 mA
5084,Pt/GF,AcOH: EtOH(1: 1),K3PO4,1.2 mA
5085,Pt/GF,AcOH: EtOH(1: 1),K3PO4,1.0 V
5086,Pt/GF,AcOH: EtOH(1: 1),K3PO4,1.5 V
5087,Pt/GF,AcOH: EtOH(1: 1),K3PO4,0.6 mA
5088,Pt/GF,AcOH: EtOH(1: 1),KOAc,0.3 mA
5089,Pt/GF,AcOH: EtOH(1: 1),KOAc,0.9 mA
5090,Pt/GF,AcOH: EtOH(1: 1),KOAc,1.2 mA
5091,Pt/GF,AcOH: EtOH(1: 1),KOAc,1.0 V
5092,Pt/GF,AcOH: EtOH(1: 1),KOAc,1.5 V
5093,Pt/GF,AcOH: EtOH(1: 1),KOAc,0.6 mA
5094,Pt/GF,AcOH: EtOH(1: 1),LiClO4,0.3 mA
5095,Pt/GF,AcOH: EtOH(1: 1),LiClO4,0.9 mA
5096,Pt/GF,AcOH: EtOH(1: 1),LiClO4,1.2 mA
5097,Pt/GF,AcOH: EtOH(1: 1),LiClO4,1.0 V
5098,Pt/GF,AcOH: EtOH(1: 1),LiClO4,1.5 V
5099,Pt/GF,AcOH: EtOH(1: 1),LiClO4,0.6 mA
5100,Pt/GF,AcOH: EtOH(1: 1),LiOAc,0.3 mA
5101,Pt/GF,AcOH: EtOH(1: 1),LiOAc,0.9 mA
5102,Pt/GF,AcOH: EtOH(1: 1),LiOAc,1.2 mA
5103,Pt/GF,AcOH: EtOH(1: 1),LiOAc,1.0 V
5104,Pt/GF,AcOH: EtOH(1: 1),LiOAc,1.5 V
5105,Pt/GF,AcOH: EtOH(1: 1),LiOAc,0.6 mA
5106,Pt/GF,AcOH: EtOH(1: 1),NaO2CAd,0.3 mA
5107,Pt/GF,AcOH: EtOH(1: 1),NaO2CAd,0.9 mA
5108,Pt/GF,AcOH: EtOH(1: 1),NaO2CAd,1.2 mA
5109,Pt/GF,AcOH: EtOH(1: 1),NaO2CAd,1.0 V
5110,Pt/GF,AcOH: EtOH(1: 1),NaO2CAd,1.5 V
5111,Pt/GF,AcOH: EtOH(1: 1),NaO2CAd,0.6 mA
5112,Pt/GF,AcOH: EtOH(1: 1),NaOAc,0.3 mA
5113,Pt/GF,AcOH: EtOH(1: 1),NaOAc,0.9 mA
5114,Pt/GF,AcOH: EtOH(1: 1),NaOAc,1.2 mA
5115,Pt/GF,AcOH: EtOH(1: 1),NaOAc,1.0 V
5116,Pt/GF,AcOH: EtOH(1: 1),NaOAc,1.5 V
5117,Pt/GF,AcOH: EtOH(1: 1),NaOAc,0.6 mA
5118,Pt/GF,AcOH: EtOH(1: 1),nBu4NOAc,0.3 mA
5119,Pt/GF,AcOH: EtOH(1: 1),nBu4NOAc,0.9 mA
5120,Pt/GF,AcOH: EtOH(1: 1),nBu4NOAc,1.2 mA
5121,Pt/GF,AcOH: EtOH(1: 1),nBu4NOAc,1.0 V
5122,Pt/GF,AcOH: EtOH(1: 1),nBu4NOAc,1.5 V
5123,Pt/GF,AcOH: EtOH(1: 1),nBu4NOAc,0.6 mA
5124,Pt/GF,AcOH: EtOH(1: 1),nBu4NPF6,0.3 mA
5125,Pt/GF,AcOH: EtOH(1: 1),nBu4NPF6,0.9 mA
5126,Pt/GF,AcOH: EtOH(1: 1),nBu4NPF6,1.2 mA
5127,Pt/GF,AcOH: EtOH(1: 1),nBu4NPF6,1.0 V
5128,Pt/GF,AcOH: EtOH(1: 1),nBu4NPF6,1.5 V
5129,Pt/GF,AcOH: EtOH(1: 1),nBu4NPF6,0.6 mA
5130,Pt/GF,AcOH: MeCN(1: 1),NaOPiv,0.3 mA
5131,Pt/GF,AcOH: MeCN(1: 1),NaOPiv,0.9 mA
5132,Pt/GF,AcOH: MeCN(1: 1),NaOPiv,1.2 mA
5133,Pt/GF,AcOH: MeCN(1: 1),NaOPiv,1.0 V
5134,Pt/GF,AcOH: MeCN(1: 1),NaOPiv,1.5 V
5135,Pt/GF,AcOH: MeCN(1: 1),NaOPiv,0.6 mA
5136,Pt/GF,AcOH: MeCN(1: 1),K3PO4,0.3 mA
5137,Pt/GF,AcOH: MeCN(1: 1),K3PO4,0.9 mA
5138,Pt/GF,AcOH: MeCN(1: 1),K3PO4,1.2 mA
5139,Pt/GF,AcOH: MeCN(1: 1),K3PO4,1.0 V
5140,Pt/GF,AcOH: MeCN(1: 1),K3PO4,1.5 V
5141,Pt/GF,AcOH: MeCN(1: 1),K3PO4,0.6 mA
5142,Pt/GF,AcOH: MeCN(1: 1),KOAc,0.3 mA
5143,Pt/GF,AcOH: MeCN(1: 1),KOAc,0.9 mA
5144,Pt/GF,AcOH: MeCN(1: 1),KOAc,1.2 mA
5145,Pt/GF,AcOH: MeCN(1: 1),KOAc,1.0 V
5146,Pt/GF,AcOH: MeCN(1: 1),KOAc,1.5 V
5147,Pt/GF,AcOH: MeCN(1: 1),KOAc,0.6 mA
5148,Pt/GF,AcOH: MeCN(1: 1),LiClO4,0.3 mA
5149,Pt/GF,AcOH: MeCN(1: 1),LiClO4,0.9 mA
5150,Pt/GF,AcOH: MeCN(1: 1),LiClO4,1.2 mA
5151,Pt/GF,AcOH: MeCN(1: 1),LiClO4,1.0 V
5152,Pt/GF,AcOH: MeCN(1: 1),LiClO4,1.5 V
5153,Pt/GF,AcOH: MeCN(1: 1),LiClO4,0.6 mA
5154,Pt/GF,AcOH: MeCN(1: 1),LiOAc,0.3 mA
5155,Pt/GF,AcOH: MeCN(1: 1),LiOAc,0.9 mA
5156,Pt/GF,AcOH: MeCN(1: 1),LiOAc,1.2 mA
5157,Pt/GF,AcOH: MeCN(1: 1),LiOAc,1.0 V
5158,Pt/GF,AcOH: MeCN(1: 1),LiOAc,1.5 V
5159,Pt/GF,AcOH: MeCN(1: 1),LiOAc,0.6 mA
5160,Pt/GF,AcOH: MeCN(1: 1),NaO2CAd,0.3 mA
5161,Pt/GF,AcOH: MeCN(1: 1),NaO2CAd,0.9 mA
5162,Pt/GF,AcOH: MeCN(1: 1),NaO2CAd,1.2 mA
5163,Pt/GF,AcOH: MeCN(1: 1),NaO2CAd,1.0 V
5164,Pt/GF,AcOH: MeCN(1: 1),NaO2CAd,1.5 V
5165,Pt/GF,AcOH: MeCN(1: 1),NaO2CAd,0.6 mA
5166,Pt/GF,AcOH: MeCN(1: 1),NaOAc,0.3 mA
5167,Pt/GF,AcOH: MeCN(1: 1),NaOAc,0.9 mA
5168,Pt/GF,AcOH: MeCN(1: 1),NaOAc,1.2 mA
5169,Pt/GF,AcOH: MeCN(1: 1),NaOAc,1.0 V
5170,Pt/GF,AcOH: MeCN(1: 1),NaOAc,1.5 V
5171,Pt/GF,AcOH: MeCN(1: 1),NaOAc,0.6 mA
5172,Pt/GF,AcOH: MeCN(1: 1),nBu4NOAc,0.3 mA
5173,Pt/GF,AcOH: MeCN(1: 1),nBu4NOAc,0.9 mA
5174,Pt/GF,AcOH: MeCN(1: 1),nBu4NOAc,1.2 mA
5175,Pt/GF,AcOH: MeCN(1: 1),nBu4NOAc,1.0 V
5176,Pt/GF,AcOH: MeCN(1: 1),nBu4NOAc,1.5 V
5177,Pt/GF,AcOH: MeCN(1: 1),nBu4NOAc,0.6 mA
5178,Pt/GF,AcOH: MeCN(1: 1),nBu4NPF6,0.3 mA
5179,Pt/GF,AcOH: MeCN(1: 1),nBu4NPF6,0.9 mA
5180,Pt/GF,AcOH: MeCN(1: 1),nBu4NPF6,1.2 mA
5181,Pt/GF,AcOH: MeCN(1: 1),nBu4NPF6,1.0 V
5182,Pt/GF,AcOH: MeCN(1: 1),nBu4NPF6,1.5 V
5183,Pt/GF,AcOH: MeCN(1: 1),nBu4NPF6,0.6 mA
5184,Pt/GF,MeCN,NaOPiv,0.3 mA
5185,Pt/GF,MeCN,NaOPiv,0.9 mA
5186,Pt/GF,MeCN,NaOPiv,1.2 mA
5187,Pt/GF,MeCN,NaOPiv,1.0 V
5188,Pt/GF,MeCN,NaOPiv,1.5 V
5189,Pt/GF,MeCN,NaOPiv,0.6 mA
5190,Pt/GF,MeCN,K3PO4,0.3 mA
5191,Pt/GF,MeCN,K3PO4,0.9 mA
5192,Pt/GF,MeCN,K3PO4,1.2 mA
5193,Pt/GF,MeCN,K3PO4,1.0 V
5194,Pt/GF,MeCN,K3PO4,1.5 V
5195,Pt/GF,MeCN,K3PO4,0.6 mA
5196,Pt/GF,MeCN,KOAc,0.3 mA
5197,Pt/GF,MeCN,KOAc,0.9 mA
5198,Pt/GF,MeCN,KOAc,1.2 mA
5199,Pt/GF,MeCN,KOAc,1.0 V
5200,Pt/GF,MeCN,KOAc,1.5 V
5201,Pt/GF,MeCN,KOAc,0.6 mA
5202,Pt/GF,MeCN,LiClO4,0.3 mA
5203,Pt/GF,MeCN,LiClO4,0.9 mA
5204,Pt/GF,MeCN,LiClO4,1.2 mA
5205,Pt/GF,MeCN,LiClO4,1.0 V
5206,Pt/GF,MeCN,LiClO4,1.5 V
5207,Pt/GF,MeCN,LiClO4,0.6 mA
5208,Pt/GF,MeCN,LiOAc,0.3 mA
5209,Pt/GF,MeCN,LiOAc,0.9 mA
5210,Pt/GF,MeCN,LiOAc,1.2 mA
5211,Pt/GF,MeCN,LiOAc,1.0 V
5212,Pt/GF,MeCN,LiOAc,1.5 V
5213,Pt/GF,MeCN,LiOAc,0.6 mA
5214,Pt/GF,MeCN,NaO2CAd,0.3 mA
5215,Pt/GF,MeCN,NaO2CAd,0.9 mA
5216,Pt/GF,MeCN,NaO2CAd,1.2 mA
5217,Pt/GF,MeCN,NaO2CAd,1.0 V
5218,Pt/GF,MeCN,NaO2CAd,1.5 V
5219,Pt/GF,MeCN,NaO2CAd,0.6 mA
5220,Pt/GF,MeCN,NaOAc,0.3 mA
5221,Pt/GF,MeCN,NaOAc,0.9 mA
5222,Pt/GF,MeCN,NaOAc,1.2 mA
5223,Pt/GF,MeCN,NaOAc,1.0 V
5224,Pt/GF,MeCN,NaOAc,1.5 V
5225,Pt/GF,MeCN,NaOAc,0.6 mA
5226,Pt/GF,MeCN,nBu4NOAc,0.3 mA
5227,Pt/GF,MeCN,nBu4NOAc,0.9 mA
5228,Pt/GF,MeCN,nBu4NOAc,1.2 mA
5229,Pt/GF,MeCN,nBu4NOAc,1.0 V
5230,Pt/GF,MeCN,nBu4NOAc,1.5 V
5231,Pt/GF,MeCN,nBu4NOAc,0.6 mA
5232,Pt/GF,MeCN,nBu4NPF6,0.3 mA
5233,Pt/GF,MeCN,nBu4NPF6,0.9 mA
5234,Pt/GF,MeCN,nBu4NPF6,1.2 mA
5235,Pt/GF,MeCN,nBu4NPF6,1.0 V
5236,Pt/GF,MeCN,nBu4NPF6,1.5 V
5237,Pt/GF,MeCN,nBu4NPF6,0.6 mA
5238,Pt/GF,TFE,NaOPiv,0.3 mA
5239,Pt/GF,TFE,NaOPiv,0.9 mA
5240,Pt/GF,TFE,NaOPiv,1.2 mA
5241,Pt/GF,TFE,NaOPiv,1.0 V
5242,Pt/GF,TFE,NaOPiv,1.5 V
5243,Pt/GF,TFE,NaOPiv,0.6 mA
5244,Pt/GF,TFE,K3PO4,0.3 mA
5245,Pt/GF,TFE,K3PO4,0.9 mA
5246,Pt/GF,TFE,K3PO4,1.2 mA
5247,Pt/GF,TFE,K3PO4,1.0 V
5248,Pt/GF,TFE,K3PO4,1.5 V
5249,Pt/GF,TFE,K3PO4,0.6 mA
5250,Pt/GF,TFE,KOAc,0.3 mA
5251,Pt/GF,TFE,KOAc,0.9 mA
5252,Pt/GF,TFE,KOAc,1.2 mA
5253,Pt/GF,TFE,KOAc,1.0 V
5254,Pt/GF,TFE,KOAc,1.5 V
5255,Pt/GF,TFE,KOAc,0.6 mA
5256,Pt/GF,TFE,LiClO4,0.3 mA
5257,Pt/GF,TFE,LiClO4,0.9 mA
5258,Pt/GF,TFE,LiClO4,1.2 mA
5259,Pt/GF,TFE,LiClO4,1.0 V
5260,Pt/GF,TFE,LiClO4,1.5 V
5261,Pt/GF,TFE,LiClO4,0.6 mA
5262,Pt/GF,TFE,LiOAc,0.3 mA
5263,Pt/GF,TFE,LiOAc,0.9 mA
5264,Pt/GF,TFE,LiOAc,1.2 mA
5265,Pt/GF,TFE,LiOAc,1.0 V
5266,Pt/GF,TFE,LiOAc,1.5 V
5267,Pt/GF,TFE,LiOAc,0.6 mA
5268,Pt/GF,TFE,NaO2CAd,0.3 mA
5269,Pt/GF,TFE,NaO2CAd,0.9 mA
5270,Pt/GF,TFE,NaO2CAd,1.2 mA
5271,Pt/GF,TFE,NaO2CAd,1.0 V
5272,Pt/GF,TFE,NaO2CAd,1.5 V
5273,Pt/GF,TFE,NaO2CAd,0.6 mA
5274,Pt/GF,TFE,NaOAc,0.3 mA
5275,Pt/GF,TFE,NaOAc,0.9 mA
5276,Pt/GF,TFE,NaOAc,1.2 mA
5277,Pt/GF,TFE,NaOAc,1.0 V
5278,Pt/GF,TFE,NaOAc,1.5 V
5279,Pt/GF,TFE,NaOAc,0.6 mA
5280,Pt/GF,TFE,nBu4NOAc,0.3 mA
5281,Pt/GF,TFE,nBu4NOAc,0.9 mA
5282,Pt/GF,TFE,nBu4NOAc,1.2 mA
5283,Pt/GF,TFE,nBu4NOAc,1.0 V
5284,Pt/GF,TFE,nBu4NOAc,1.5 V
5285,Pt/GF,TFE,nBu4NOAc,0.6 mA
5286,Pt/GF,TFE,nBu4NPF6,0.3 mA
5287,Pt/GF,TFE,nBu4NPF6,0.9 mA
5288,Pt/GF,TFE,nBu4NPF6,1.2 mA
5289,Pt/GF,TFE,nBu4NPF6,1.0 V
5290,Pt/GF,TFE,nBu4NPF6,1.5 V
5291,Pt/GF,TFE,nBu4NPF6,0.6 mA
5292,Pt/GF,TFE: EtOH(1: 1),NaOPiv,0.3 mA
5293,Pt/GF,TFE: EtOH(1: 1),NaOPiv,0.9 mA
5294,Pt/GF,TFE: EtOH(1: 1),NaOPiv,1.2 mA
5295,Pt/GF,TFE: EtOH(1: 1),NaOPiv,1.0 V
5296,Pt/GF,TFE: EtOH(1: 1),NaOPiv,1.5 V
5297,Pt/GF,TFE: EtOH(1: 1),NaOPiv,0.6 mA
5298,Pt/GF,TFE: EtOH(1: 1),K3PO4,0.3 mA
5299,Pt/GF,TFE: EtOH(1: 1),K3PO4,0.9 mA
5300,Pt/GF,TFE: EtOH(1: 1),K3PO4,1.2 mA
5301,Pt/GF,TFE: EtOH(1: 1),K3PO4,1.0 V
5302,Pt/GF,TFE: EtOH(1: 1),K3PO4,1.5 V
5303,Pt/GF,TFE: EtOH(1: 1),K3PO4,0.6 mA
5304,Pt/GF,TFE: EtOH(1: 1),KOAc,0.3 mA
5305,Pt/GF,TFE: EtOH(1: 1),KOAc,0.9 mA
